,id,bool_col,tinyint_col,smallint_col,int_col,bigint_col,float_col,double_col,date_string_col,string_col,timestamp_col
0,6,True,0,0,0,0,0.0,0.0,b'04/01/09',b'0',2009-04-01 00:00:00.000
1,7,False,1,1,1,10,1.1,10.1,b'04/01/09',b'1',2009-04-01 00:01:00.000
2,122,True,2,2,2,20,2.2,20.2,b'01/13/09',b'2',2009-01-13 01:02:05.410
3,123,False,3,3,3,30,3.3,30.299999999999997,b'01/13/09',b'3',2009-01-13 01:03:05.430
4,124,True,4,4,4,40,4.4,40.4,b'01/13/09',b'4',2009-01-13 01:04:05.460
5,125,False,5,5,5,50,5.5,50.5,b'01/13/09',b'5',2009-01-13 01:05:05.500
6,126,True,6,6,6,60,6.6,60.599999999999994,b'01/13/09',b'6',2009-01-13 01:06:05.550
7,127,False,7,7,7,70,7.7,70.7,b'01/13/09',b'7',2009-01-13 01:07:05.610
8,128,True,8,8,8,80,8.8,80.8,b'01/13/09',b'8',2009-01-13 01:08:05.680
9,129,False,9,9,9,90,9.9,90.89999999999999,b'01/13/09',b'9',2009-01-13 01:09:05.760
10,130,True,0,0,0,0,0.0,0.0,b'01/14/09',b'0',2009-01-14 01:10:05.850
11,131,False,1,1,1,10,1.1,10.1,b'01/14/09',b'1',2009-01-14 01:11:05.850
12,132,True,2,2,2,20,2.2,20.2,b'01/14/09',b'2',2009-01-14 01:12:05.860
13,133,False,3,3,3,30,3.3,30.299999999999997,b'01/14/09',b'3',2009-01-14 01:13:05.880
14,134,True,4,4,4,40,4.4,40.4,b'01/14/09',b'4',2009-01-14 01:14:05.910
15,135,False,5,5,5,50,5.5,50.5,b'01/14/09',b'5',2009-01-14 01:15:05.950
16,136,True,6,6,6,60,6.6,60.599999999999994,b'01/14/09',b'6',2009-01-14 01:16:06.000
17,137,False,7,7,7,70,7.7,70.7,b'01/14/09',b'7',2009-01-14 01:17:06.600
18,138,True,8,8,8,80,8.8,80.8,b'01/14/09',b'8',2009-01-14 01:18:06.130
19,139,False,9,9,9,90,9.9,90.89999999999999,b'01/14/09',b'9',2009-01-14 01:19:06.210
20,140,True,0,0,0,0,0.0,0.0,b'01/15/09',b'0',2009-01-15 01:20:06.300
21,141,False,1,1,1,10,1.1,10.1,b'01/15/09',b'1',2009-01-15 01:21:06.300
22,142,True,2,2,2,20,2.2,20.2,b'01/15/09',b'2',2009-01-15 01:22:06.310
23,143,False,3,3,3,30,3.3,30.299999999999997,b'01/15/09',b'3',2009-01-15 01:23:06.330
24,144,True,4,4,4,40,4.4,40.4,b'01/15/09',b'4',2009-01-15 01:24:06.360
25,145,False,5,5,5,50,5.5,50.5,b'01/15/09',b'5',2009-01-15 01:25:06.400
26,98,True,8,8,8,80,8.8,80.8,b'01/10/09',b'8',2009-01-10 00:38:04.330
27,99,False,9,9,9,90,9.9,90.89999999999999,b'01/10/09',b'9',2009-01-10 00:39:04.410
28,100,True,0,0,0,0,0.0,0.0,b'01/11/09',b'0',2009-01-11 00:40:04.500
29,101,False,1,1,1,10,1.1,10.1,b'01/11/09',b'1',2009-01-11 00:41:04.500
30,102,True,2,2,2,20,2.2,20.2,b'01/11/09',b'2',2009-01-11 00:42:04.510
31,103,False,3,3,3,30,3.3,30.299999999999997,b'01/11/09',b'3',2009-01-11 00:43:04.530
32,104,True,4,4,4,40,4.4,40.4,b'01/11/09',b'4',2009-01-11 00:44:04.560
33,105,False,5,5,5,50,5.5,50.5,b'01/11/09',b'5',2009-01-11 00:45:04.600
34,106,True,6,6,6,60,6.6,60.599999999999994,b'01/11/09',b'6',2009-01-11 00:46:04.650
35,107,False,7,7,7,70,7.7,70.7,b'01/11/09',b'7',2009-01-11 00:47:04.710
36,108,True,8,8,8,80,8.8,80.8,b'01/11/09',b'8',2009-01-11 00:48:04.780
37,109,False,9,9,9,90,9.9,90.89999999999999,b'01/11/09',b'9',2009-01-11 00:49:04.860
38,110,True,0,0,0,0,0.0,0.0,b'01/12/09',b'0',2009-01-12 00:50:04.950
39,111,False,1,1,1,10,1.1,10.1,b'01/12/09',b'1',2009-01-12 00:51:04.950
40,112,True,2,2,2,20,2.2,20.2,b'01/12/09',b'2',2009-01-12 00:52:04.960
41,113,False,3,3,3,30,3.3,30.299999999999997,b'01/12/09',b'3',2009-01-12 00:53:04.980
42,114,True,4,4,4,40,4.4,40.4,b'01/12/09',b'4',2009-01-12 00:54:05.100
43,115,False,5,5,5,50,5.5,50.5,b'01/12/09',b'5',2009-01-12 00:55:05.500
44,116,True,6,6,6,60,6.6,60.599999999999994,b'01/12/09',b'6',2009-01-12 00:56:05.100
45,117,False,7,7,7,70,7.7,70.7,b'01/12/09',b'7',2009-01-12 00:57:05.160
46,118,True,8,8,8,80,8.8,80.8,b'01/12/09',b'8',2009-01-12 00:58:05.230
47,119,False,9,9,9,90,9.9,90.89999999999999,b'01/12/09',b'9',2009-01-12 00:59:05.310
48,120,True,0,0,0,0,0.0,0.0,b'01/13/09',b'0',2009-01-13 01:00:05.400
49,121,False,1,1,1,10,1.1,10.1,b'01/13/09',b'1',2009-01-13 01:01:05.400
50,171,False,1,1,1,10,1.1,10.1,b'01/18/09',b'1',2009-01-18 01:51:07.650
51,172,True,2,2,2,20,2.2,20.2,b'01/18/09',b'2',2009-01-18 01:52:07.660
52,173,False,3,3,3,30,3.3,30.299999999999997,b'01/18/09',b'3',2009-01-18 01:53:07.680
53,174,True,4,4,4,40,4.4,40.4,b'01/18/09',b'4',2009-01-18 01:54:07.710
54,175,False,5,5,5,50,5.5,50.5,b'01/18/09',b'5',2009-01-18 01:55:07.750
55,176,True,6,6,6,60,6.6,60.599999999999994,b'01/18/09',b'6',2009-01-18 01:56:07.800
56,177,False,7,7,7,70,7.7,70.7,b'01/18/09',b'7',2009-01-18 01:57:07.860
57,178,True,8,8,8,80,8.8,80.8,b'01/18/09',b'8',2009-01-18 01:58:07.930
58,179,False,9,9,9,90,9.9,90.89999999999999,b'01/18/09',b'9',2009-01-18 01:59:08.100
59,180,True,0,0,0,0,0.0,0.0,b'01/19/09',b'0',2009-01-19 02:00:08.100
60,181,False,1,1,1,10,1.1,10.1,b'01/19/09',b'1',2009-01-19 02:01:08.100
61,182,True,2,2,2,20,2.2,20.2,b'01/19/09',b'2',2009-01-19 02:02:08.110
62,183,False,3,3,3,30,3.3,30.299999999999997,b'01/19/09',b'3',2009-01-19 02:03:08.130
63,184,True,4,4,4,40,4.4,40.4,b'01/19/09',b'4',2009-01-19 02:04:08.160
64,185,False,5,5,5,50,5.5,50.5,b'01/19/09',b'5',2009-01-19 02:05:08.200
65,186,True,6,6,6,60,6.6,60.599999999999994,b'01/19/09',b'6',2009-01-19 02:06:08.250
66,187,False,7,7,7,70,7.7,70.7,b'01/19/09',b'7',2009-01-19 02:07:08.310
67,188,True,8,8,8,80,8.8,80.8,b'01/19/09',b'8',2009-01-19 02:08:08.380
68,189,False,9,9,9,90,9.9,90.89999999999999,b'01/19/09',b'9',2009-01-19 02:09:08.460
69,190,True,0,0,0,0,0.0,0.0,b'01/20/09',b'0',2009-01-20 02:10:08.550
