,id,bool_col,tinyint_col,smallint_col,int_col,bigint_col,float_col,double_col,date_string_col,string_col,timestamp_col
0,0,True,0,0,0,0,0.0,0.0,b'01/01/09',b'0',2009-01-01 00:00:00.000
1,1,False,1,1,1,10,1.1,10.1,b'01/01/09',b'1',2009-01-01 00:01:00.000
2,4,True,0,0,0,0,0.0,0.0,b'03/01/09',b'0',2009-03-01 00:00:00.000
3,5,False,1,1,1,10,1.1,10.1,b'03/01/09',b'1',2009-03-01 00:01:00.000
4,6,True,0,0,0,0,0.0,0.0,b'04/01/09',b'0',2009-04-01 00:00:00.000
5,7,False,1,1,1,10,1.1,10.1,b'04/01/09',b'1',2009-04-01 00:01:00.000
6,2,True,0,0,0,0,0.0,0.0,b'02/01/09',b'0',2009-02-01 00:00:00.000
7,3,False,1,1,1,10,1.1,10.1,b'02/01/09',b'1',2009-02-01 00:01:00.000
8,0,True,0,0,0,0,0.0,0.0,b'01/01/09',b'0',2009-01-01 00:00:00.000
9,1,False,1,1,1,10,1.1,10.1,b'01/01/09',b'1',2009-01-01 00:01:00.000
10,122,True,2,2,2,20,2.2,20.2,b'01/13/09',b'2',2009-01-13 01:02:05.410
11,123,False,3,3,3,30,3.3,30.299999999999997,b'01/13/09',b'3',2009-01-13 01:03:05.430
12,124,True,4,4,4,40,4.4,40.4,b'01/13/09',b'4',2009-01-13 01:04:05.460
13,125,False,5,5,5,50,5.5,50.5,b'01/13/09',b'5',2009-01-13 01:05:05.500
14,126,True,6,6,6,60,6.6,60.599999999999994,b'01/13/09',b'6',2009-01-13 01:06:05.550
15,127,False,7,7,7,70,7.7,70.7,b'01/13/09',b'7',2009-01-13 01:07:05.610
16,128,True,8,8,8,80,8.8,80.8,b'01/13/09',b'8',2009-01-13 01:08:05.680
17,129,False,9,9,9,90,9.9,90.89999999999999,b'01/13/09',b'9',2009-01-13 01:09:05.760
18,130,True,0,0,0,0,0.0,0.0,b'01/14/09',b'0',2009-01-14 01:10:05.850
19,131,False,1,1,1,10,1.1,10.1,b'01/14/09',b'1',2009-01-14 01:11:05.850
20,132,True,2,2,2,20,2.2,20.2,b'01/14/09',b'2',2009-01-14 01:12:05.860
21,133,False,3,3,3,30,3.3,30.299999999999997,b'01/14/09',b'3',2009-01-14 01:13:05.880
22,134,True,4,4,4,40,4.4,40.4,b'01/14/09',b'4',2009-01-14 01:14:05.910
23,135,False,5,5,5,50,5.5,50.5,b'01/14/09',b'5',2009-01-14 01:15:05.950
24,136,True,6,6,6,60,6.6,60.599999999999994,b'01/14/09',b'6',2009-01-14 01:16:06.000
25,137,False,7,7,7,70,7.7,70.7,b'01/14/09',b'7',2009-01-14 01:17:06.600
26,138,True,8,8,8,80,8.8,80.8,b'01/14/09',b'8',2009-01-14 01:18:06.130
27,139,False,9,9,9,90,9.9,90.89999999999999,b'01/14/09',b'9',2009-01-14 01:19:06.210
28,140,True,0,0,0,0,0.0,0.0,b'01/15/09',b'0',2009-01-15 01:20:06.300
29,141,False,1,1,1,10,1.1,10.1,b'01/15/09',b'1',2009-01-15 01:21:06.300
30,142,True,2,2,2,20,2.2,20.2,b'01/15/09',b'2',2009-01-15 01:22:06.310
31,143,False,3,3,3,30,3.3,30.299999999999997,b'01/15/09',b'3',2009-01-15 01:23:06.330
32,144,True,4,4,4,40,4.4,40.4,b'01/15/09',b'4',2009-01-15 01:24:06.360
33,145,False,5,5,5,50,5.5,50.5,b'01/15/09',b'5',2009-01-15 01:25:06.400
34,98,True,8,8,8,80,8.8,80.8,b'01/10/09',b'8',2009-01-10 00:38:04.330
35,99,False,9,9,9,90,9.9,90.89999999999999,b'01/10/09',b'9',2009-01-10 00:39:04.410
36,100,True,0,0,0,0,0.0,0.0,b'01/11/09',b'0',2009-01-11 00:40:04.500
37,101,False,1,1,1,10,1.1,10.1,b'01/11/09',b'1',2009-01-11 00:41:04.500
38,102,True,2,2,2,20,2.2,20.2,b'01/11/09',b'2',2009-01-11 00:42:04.510
39,103,False,3,3,3,30,3.3,30.299999999999997,b'01/11/09',b'3',2009-01-11 00:43:04.530
40,104,True,4,4,4,40,4.4,40.4,b'01/11/09',b'4',2009-01-11 00:44:04.560
41,105,False,5,5,5,50,5.5,50.5,b'01/11/09',b'5',2009-01-11 00:45:04.600
42,106,True,6,6,6,60,6.6,60.599999999999994,b'01/11/09',b'6',2009-01-11 00:46:04.650
43,107,False,7,7,7,70,7.7,70.7,b'01/11/09',b'7',2009-01-11 00:47:04.710
44,108,True,8,8,8,80,8.8,80.8,b'01/11/09',b'8',2009-01-11 00:48:04.780
45,109,False,9,9,9,90,9.9,90.89999999999999,b'01/11/09',b'9',2009-01-11 00:49:04.860
46,110,True,0,0,0,0,0.0,0.0,b'01/12/09',b'0',2009-01-12 00:50:04.950
47,111,False,1,1,1,10,1.1,10.1,b'01/12/09',b'1',2009-01-12 00:51:04.950
48,112,True,2,2,2,20,2.2,20.2,b'01/12/09',b'2',2009-01-12 00:52:04.960
49,113,False,3,3,3,30,3.3,30.299999999999997,b'01/12/09',b'3',2009-01-12 00:53:04.980
50,114,True,4,4,4,40,4.4,40.4,b'01/12/09',b'4',2009-01-12 00:54:05.100
51,115,False,5,5,5,50,5.5,50.5,b'01/12/09',b'5',2009-01-12 00:55:05.500
52,116,True,6,6,6,60,6.6,60.599999999999994,b'01/12/09',b'6',2009-01-12 00:56:05.100
53,117,False,7,7,7,70,7.7,70.7,b'01/12/09',b'7',2009-01-12 00:57:05.160
54,118,True,8,8,8,80,8.8,80.8,b'01/12/09',b'8',2009-01-12 00:58:05.230
55,119,False,9,9,9,90,9.9,90.89999999999999,b'01/12/09',b'9',2009-01-12 00:59:05.310
56,120,True,0,0,0,0,0.0,0.0,b'01/13/09',b'0',2009-01-13 01:00:05.400
57,121,False,1,1,1,10,1.1,10.1,b'01/13/09',b'1',2009-01-13 01:01:05.400
58,171,False,1,1,1,10,1.1,10.1,b'01/18/09',b'1',2009-01-18 01:51:07.650
59,172,True,2,2,2,20,2.2,20.2,b'01/18/09',b'2',2009-01-18 01:52:07.660
60,173,False,3,3,3,30,3.3,30.299999999999997,b'01/18/09',b'3',2009-01-18 01:53:07.680
61,174,True,4,4,4,40,4.4,40.4,b'01/18/09',b'4',2009-01-18 01:54:07.710
62,175,False,5,5,5,50,5.5,50.5,b'01/18/09',b'5',2009-01-18 01:55:07.750
63,176,True,6,6,6,60,6.6,60.599999999999994,b'01/18/09',b'6',2009-01-18 01:56:07.800
64,177,False,7,7,7,70,7.7,70.7,b'01/18/09',b'7',2009-01-18 01:57:07.860
65,178,True,8,8,8,80,8.8,80.8,b'01/18/09',b'8',2009-01-18 01:58:07.930
66,179,False,9,9,9,90,9.9,90.89999999999999,b'01/18/09',b'9',2009-01-18 01:59:08.100
67,180,True,0,0,0,0,0.0,0.0,b'01/19/09',b'0',2009-01-19 02:00:08.100
68,181,False,1,1,1,10,1.1,10.1,b'01/19/09',b'1',2009-01-19 02:01:08.100
69,182,True,2,2,2,20,2.2,20.2,b'01/19/09',b'2',2009-01-19 02:02:08.110
70,183,False,3,3,3,30,3.3,30.299999999999997,b'01/19/09',b'3',2009-01-19 02:03:08.130
